x,y,z,Site,Atom
6.376957650493245,10.987449981600001,2.937481864319682,T1,Si
5.4873468756764785,10.9534202604,5.957584782188479,T2,Si
4.179718834892664,10.9661468228,10.094122190600197,T3,Si
8.351515021238082,9.563873311400002,1.091578156636195,T4,Si
6.36322937091571,9.5626283216,8.553963059609766,T5,Si
23.343317814322486,12.2577545742,1.4196117463629798,T6,Si
3.2831738068440024,7.833672859098014e-16,9.10383651204399,T7,Si
1.7451941387144285,6.916610000000001,9.645191127036007,T8,Si
4.601309884490488,6.916610000000001,8.314502040001312,T9,Si
3.426966296780693,6.916610000000001,5.345745539592417,T10,Si
6.860191629598645,6.91661,0.6616686068128316,T11,Si
6.877619765059779,12.49139766,2.6401394286655204,O1,O
7.489817363360389,9.9561834306,2.393793321261308,O2,O
6.221977825292944,10.813566406200001,4.531204644433058,O3,O
4.955582926987584,10.691695738000002,2.239287283268329,O4,O
5.460966529119911,12.5032942292,6.399980847166864,O5,O
3.9922481560727086,10.374915000000001,5.834820165897986,O6,O
6.3389795952308585,10.1263320366,7.047529189178223,O7,O
8.245112778832441,10.7640434786,0.022522405840366227,O8,O
3.9433873282422405,12.5214157474,9.758386638254427,O9,O
5.6520418108838495,10.6165813534,9.54086454246975,O10,O
7.7470426610155565,8.2346392016,0.4136887497621672,O11,O
5.4759092669595715,8.2246792832,8.63261643544607,O12,O
1.7252739232527925,8.186531054871417e-16,9.513907673303303,O13,O
3.4641962594588094,6.458590294237181e-16,7.505795965007851,O14,O
1.615882400544366,6.916610000000001,11.25163381511104,O15,O
3.310758449352018,6.916610000000001,9.271996029225171,O16,O
4.188453778848904,6.916610000000001,6.762206483065812,O17,O
0.15037627510940418,11.5720418588,2.590776850062024,O18,O
21.921271789012387,11.5008007758,1.4435345090431617,O19,O
1.1071665457197646e-16,1.8081401862,0.0,O20,O
23.16020670088912,1.4585274028482259e-16,1.6950152581933646,O21,O
6.376957650493244,2.845770018400001,2.937481864319682,T1,Si
5.487346875676478,2.879799739600001,5.957584782188479,T2,Si
4.179718834892663,2.867073177200001,10.094122190600197,T3,Si
8.351515021238082,4.2693466886,1.091578156636195,T4,Si
6.36322937091571,4.270591678400001,8.553963059609766,T5,Si
23.343317814322486,1.575465425800001,1.4196117463629798,T6,Si
6.877619765059778,1.34182234,2.6401394286655204,O1,O
7.489817363360389,3.8770365694000004,2.393793321261308,O2,O
6.221977825292943,3.0196535938,4.531204644433058,O3,O
4.955582926987583,3.141524262,2.239287283268329,O4,O
5.4609665291199105,1.3299257708000005,6.399980847166864,O5,O
3.9922481560727077,3.4583050000000006,5.834820165897986,O6,O
6.3389795952308585,3.706887963400001,7.047529189178223,O7,O
8.245112778832441,3.0691765214,0.022522405840366227,O8,O
3.9433873282422396,1.3118042526000004,9.758386638254427,O9,O
5.6520418108838495,3.216638646600001,9.54086454246975,O10,O
7.747042661015556,5.5985807984,0.4136887497621672,O11,O
5.4759092669595715,5.608540716800001,8.63261643544607,O12,O
0.15037627510940374,2.261178141200001,2.590776850062024,O18,O
21.921271789012387,2.3324192242000006,1.4435345090431617,O19,O
7.36323775173081e-16,12.025079813800001,0.0,O20,O
13.639443661652173,2.8457700184000014,8.73215846747629,T1,Si
14.529054436468936,2.879799739600001,5.712055549607492,T2,Si
15.836682477252754,2.8670731772,1.5755181411957737,T3,Si
11.664886290907333,4.269346688600001,10.578062175159777,T4,Si
13.653171941229703,4.2705916784,3.115677272186206,T5,Si
-3.326916502177073,1.5754654258000016,10.250028585432991,T6,Si
16.733227505301414,2.2078238902873628e-16,2.5658038197519804,T7,Si
18.271207173430987,6.91661,2.0244492047599647,T8,Si
15.415091427654927,6.91661,3.35513829179466,T9,Si
16.58943501536472,6.916610000000001,6.323894792203554,T10,Si
13.156209682546768,6.916610000000001,11.00797172498314,T11,Si
13.138781547085637,1.3418223400000004,9.029500903130451,O1,O
12.526583948785026,3.8770365694000013,9.275847010534664,O2,O
13.794423486852473,3.0196535938,7.138435687362914,O3,O
15.060818385157832,3.141524262000001,9.430353048527643,O4,O
14.555434783025506,1.3299257708000005,5.269659484629107,O5,O
16.024153156072707,3.4583050000000006,5.834820165897986,O6,O
13.677421716914557,3.706887963400001,4.622111142617748,O7,O
11.771288533312976,3.069176521400001,11.647117925955605,O8,O
16.073013983903177,1.3118042525999998,1.9112536935415447,O9,O
14.364359501261566,3.2166386466000003,2.1287757893262214,O10,O
12.269358651129858,5.5985807984000004,11.255951582033804,O11,O
14.540492045185845,5.6085407168,3.0370238963499014,O12,O
18.291127388892622,1.85496569451396e-16,2.1557326584926693,O13,O
16.552205052686606,3.582906455148196e-16,4.16384436678812,O14,O
18.40051891160105,6.91661,0.4180065166849313,O15,O
16.705642862793397,6.91661,2.3976443025708,O16,O
15.827947533296511,6.91661,4.907433848730159,O17,O
19.86602503703601,2.2611781412000016,9.078863481733947,O18,O
-1.904870476866972,2.3324192242000015,10.226105822752809,O19,O
-3.143805388743706,8.582969346537151e-16,9.974625073602606,O21,O
13.639443661652173,10.987449981600001,8.73215846747629,T1,Si
14.529054436468936,10.9534202604,5.712055549607492,T2,Si
15.836682477252754,10.9661468228,1.5755181411957737,T3,Si
11.664886290907333,9.563873311400004,10.578062175159777,T4,Si
13.653171941229703,9.5626283216,3.115677272186206,T5,Si
-3.3269165021770726,12.2577545742,10.250028585432991,T6,Si
13.138781547085637,12.49139766,9.029500903130451,O1,O
12.526583948785026,9.9561834306,9.275847010534664,O2,O
13.794423486852473,10.813566406200001,7.138435687362914,O3,O
15.060818385157832,10.691695738000002,9.430353048527643,O4,O
14.555434783025506,12.5032942292,5.269659484629107,O5,O
16.024153156072707,10.374915000000001,5.834820165897986,O6,O
13.677421716914557,10.1263320366,4.622111142617748,O7,O
11.771288533312976,10.764043478600001,11.647117925955605,O8,O
16.073013983903177,12.5214157474,1.9112536935415447,O9,O
14.364359501261566,10.6165813534,2.1287757893262214,O10,O
12.269358651129858,8.234639201600002,11.255951582033804,O11,O
14.540492045185845,8.2246792832,3.0370238963499014,O12,O
19.86602503703601,11.5720418588,9.078863481733947,O18,O
-1.9048704768669715,11.5008007758,10.226105822752809,O19,O
18.408862650493244,4.070839981600002,2.937481864319682,T1,Si
17.519251875676478,4.0368102604,5.957584782188479,T2,Si
16.211623834892663,4.049536822800001,10.094122190600197,T3,Si
20.38342002123808,2.6472633114000006,1.091578156636195,T4,Si
18.395134370915713,2.6460183215999997,8.553963059609766,T5,Si
11.311412814322491,5.341144574199999,1.4196117463629798,T6,Si
15.315078806844003,6.916610000000001,9.10383651204399,T7,Si
13.77709913871443,13.83322,9.645191127036007,T8,Si
16.63321488449049,13.83322,8.314502040001312,T9,Si
15.458871296780693,13.83322,5.345745539592417,T10,Si
18.892096629598644,13.83322,0.6616686068128316,T11,Si
18.90952476505978,5.574787660000001,2.6401394286655204,O1,O
19.52172236336039,3.0395734306,2.393793321261308,O2,O
18.253882825292944,3.8969564061999993,4.531204644433058,O3,O
16.987487926987587,3.775085737999999,2.239287283268329,O4,O
17.49287152911991,5.586684229199999,6.399980847166864,O5,O
18.37088459523086,3.2097220366,7.047529189178223,O7,O
20.27701777883244,3.8474334786,0.022522405840366227,O8,O
15.97529232824224,5.604805747400001,9.758386638254427,O9,O
17.683946810883846,3.699971353399999,9.54086454246975,O10,O
19.778947661015557,1.3180292016000006,0.4136887497621672,O11,O
17.50781426695957,1.3080692832000005,8.63261643544607,O12,O
13.757178923252793,6.916610000000001,9.513907673303303,O13,O
15.496101259458811,6.916610000000001,7.505795965007851,O14,O
13.647787400544367,13.833220000000003,11.25163381511104,O15,O
15.342663449352017,13.83322,9.271996029225171,O16,O
16.220358778848905,13.83322,6.762206483065812,O17,O
12.182281275109403,4.655431858799998,2.590776850062024,O18,O
9.889366789012387,4.584190775799998,1.4435345090431617,O19,O
12.031905,8.7247501862,0.0,O20,O
11.128301700889121,6.91661,1.6950152581933646,O21,O
18.408862650493244,9.7623800184,2.937481864319682,T1,Si
17.519251875676478,9.796409739600001,5.957584782188479,T2,Si
16.211623834892663,9.7836831772,10.094122190600197,T3,Si
20.38342002123808,11.1859566886,1.091578156636195,T4,Si
18.395134370915713,11.187201678400001,8.553963059609766,T5,Si
11.311412814322491,8.492075425800001,1.4196117463629798,T6,Si
