x,y,z
44.74438,0.0,0.0
2.7398030873416424e-15,44.74438,0.0
2.7398030873416424e-15,2.7398030873416424e-15,44.74438
44.74438,44.74438,44.74438
Number of atoms in unit cell: 4536
